Date,CCI Value,Spread,Value of Copper,NBER_Rec
2003-03-31,99.62088666666666,2.6610236322250467,1676.5093333333332,0.0
2003-04-30,99.36102666666666,2.8110236322250466,1594.2581523809527,0.0
2003-05-31,99.29421333333336,2.4821966830842195,1662.5506666666665,0.0
2003-06-30,99.43485666666668,2.3950479392631983,1699.714304761905,0.0
2003-07-31,99.66234333333334,3.0654193289734137,1728.6372727272726,0.0
2003-08-31,99.83834,3.4844869833252354,1767.4820571428572,0.0
2003-09-30,99.97554333333332,3.3146744848732235,1817.407904761905,0.0
2003-10-31,100.15379333333333,3.3550479392631978,1948.1922608695647,0.0
2003-11-30,100.3676,3.3548614701727977,2044.3324444444447,0.0
2003-12-31,100.57030000000002,3.3554193289734138,2196.8947238095243,0.0
2004-01-31,100.73383333333334,3.2557886543177164,2434.376,0.0
2004-02-29,100.6917,3.134861470172799,2759.8835999999997,0.0
2004-03-31,100.5882,2.874674484873224,2959.8761739130437,0.0
2004-04-30,100.41084,3.3946744848732235,2820.5322666666666,0.0
2004-05-31,100.19200666666666,3.683160014236707,2664.9114999999997,0.0
2004-06-30,100.08545666666667,3.4382141196056337,2660.4169142857145,0.0
2004-07-31,100.08629333333332,3.146978996331277,2793.9898095238095,0.0
2004-08-31,100.08559,2.773809618874166,2809.6191272727274,0.0
2004-09-30,100.08665666666668,2.450076653040389,2892.4351428571426,0.0
2004-10-31,100.12729666666668,2.3075812838450167,2964.2750476190477,0.0
2004-11-30,100.24442333333332,2.0802105265803323,3053.9175,0.0
2004-12-31,100.38577333333332,1.997223052280248,3127.664914285715,0.0
2005-01-31,100.45522333333334,1.8436428051102087,3101.3035000000004,0.0
2005-02-28,100.44596333333334,1.5780806601049069,3175.1868,0.0
2005-03-31,100.37620666666668,1.7025691273951309,3272.7897272727273,0.0
2005-04-30,100.29842666666666,1.501441708987211,3260.1043238095235,0.0
2005-05-31,100.30954,1.239734874471064,3111.9955238095235,0.0
2005-06-30,100.40444333333332,0.9659720350531612,3437.3784363636364,0.0
2005-07-31,100.3507,0.8884866880369038,3463.035,0.0
2005-08-31,100.07373,0.7416280232331363,3664.9741043478252,0.0
2005-09-30,99.72808,0.7022620554695349,3678.0561904761903,0.0
2005-10-31,99.61394,0.6628624553766582,3962.949428571428,0.0
2005-11-30,99.8094,0.5671462443319086,4209.71714,0.0
2005-12-31,100.1177,0.4868052469266542,4627.130076190477,0.0
2006-01-31,100.27410666666668,0.07453740871608261,4693.5833,0.0
2006-02-28,100.25281,0.027606244593977536,4948.1656,0.0
2006-03-31,100.19096333333334,0.09463061530071036,5090.185913043479,0.0
2006-04-30,100.06431666666668,0.2712424468964123,6408.325911111111,0.0
2006-05-31,99.91984666666669,0.2666579928075201,7983.889818181819,0.0
2006-06-30,99.90085333333332,0.19394839629053084,7266.006945454547,0.0
2006-07-31,99.93257333333334,0.007657185533993527,7798.679999999999,0.0
2006-08-31,100.02965333333334,-0.2127405380346472,7729.542991304349,0.0
2006-09-30,100.2507,-0.21683055843704133,7622.8095,0.0
2006-10-31,100.5056,-0.3211528374551493,7507.024363636363,0.0
2006-11-30,100.6642,-0.4719456232071266,6994.338900000001,0.0
2006-12-31,100.74706666666668,-0.4183948490732909,6656.7301800000005,0.0
2007-01-31,100.74053333333336,-0.3535375822647424,5692.050400000002,0.0
2007-02-28,100.60926666666666,-0.4455395111229529,5743.461599999999,0.0
2007-03-31,100.48223333333334,-0.5119456232071267,6456.818363636366,0.0
2007-04-30,100.46106666666668,-0.3091801856352205,7745.8588199999995,0.0
2007-05-31,100.50553333333332,-0.10372749797087888,7680.138545454546,0.0
2007-06-30,100.5319,0.3708633298754451,7463.100838095239,0.0
2007-07-31,100.52266666666668,0.05277916661276817,7921.595809523809,0.0
2007-08-31,100.40574666666667,0.36597223859980144,7382.135095652176,0.0
2007-09-30,100.24403333333332,0.536805246926654,7623.6939999999995,0.0
2007-10-31,100.04452666666668,0.5364637215213315,7938.520521739129,0.0
2007-11-30,99.84384666666664,0.8069502412020699,6908.007695238096,0.0
2007-12-31,99.69964666666664,1.035091107565706,6677.3486,0.0
2008-01-31,99.50281333333334,0.9322880579584476,7086.857047619049,1.0
2008-02-29,99.18977666666667,1.5789748619546748,7919.94176,1.0
2008-03-31,98.87339333333334,2.228418161845478,8352.696000000002,1.0
2008-04-30,98.54013666666668,2.367804482449856,8620.525236363637,1.0
2008-05-31,98.29181,2.1182680706210517,8268.5264,1.0
2008-06-30,98.17118333333332,2.2052582224090256,8126.2251400000005,1.0
2008-07-31,98.21664666666668,2.3505236074079674,8199.03742857143,1.0
2008-08-31,98.28455333333332,2.1384959607716665,7498.91059047619,1.0
2008-09-30,98.2237,2.5410236322250466,6882.619714285713,1.0
2008-10-31,97.86718666666668,3.129542013237419,4817.29281818182,1.0
2008-11-30,97.47906666666664,3.337268546476905,3728.182,1.0
2008-12-31,97.20416666666668,2.389581026561181,3084.8286000000003,1.0
2009-01-31,97.03941999999999,2.3881511174366468,3290.1312000000007,1.0
2009-02-28,96.95669333333336,2.565602498561409,3330.721533333334,1.0
2009-03-31,97.05372333333332,2.6069702500410634,3800.6978181818176,1.0
2009-04-30,97.33840333333336,2.767712141354948,4493.179352380953,1.0
2009-05-31,97.63105,3.107416924700739,4635.8385,1.0
2009-06-30,97.82829666666667,3.537416924700739,5042.341254545455,1.0
2009-07-31,97.94071333333332,3.377416924700739,5277.628272727272,0.0
2009-08-31,98.07035666666668,3.4175647896471064,6205.907752380952,0.0
2009-09-30,98.23008333333333,3.2782964165796966,6239.314095238095,0.0
